# TDA Hydrogen Analysis Results - Generated by TDA Analysis System
# Generated: 2025-07-13T11:07:22.064819
#
# === EXPERIMENT INFORMATION ===
# Experiment Name: 23-04-25 SS316L_sample(26)_300C_18hours 2025-04-23 17-58-45
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/23-04-25 SS316L_sample(26)_300C_18hours 2025-04-23 17-58-45
# Extraction Date: 2025-07-13T11:07:22.064819
# Operator: SYSTEM
#
# === SAMPLE PARAMETERS ===
# Sample Weight: 1.0 g
# Flow Rate: 20.0 ml/min
# Cycle Time: 4.0 minutes
#
# === DATA QUALITY SUMMARY ===
# Total Runs Attempted: 216
# Successful Runs: 216
# Failed Runs: 0
# Data Quality Score: Excellent (100.0% success rate)
#
# === CALCULATED RESULTS SUMMARY ===
# Total Hydrogen Released: 3.101476 ppm
# Maximum Evolution Rate: 0.08113289 ppm/min
# Average Evolution Rate: 0.00358967 ppm/min
# Experiment Duration: 860.0 minutes (14.33 hours)
#
# === COLUMN DEFINITIONS ===
# Run: Sequential run number from GC analysis
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS)
# Time_minutes: Minutes elapsed from start of experiment
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s)
# Peak_Height_µV: Raw peak height from chromatograph (µV)
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min)
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm)
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm)
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.)
#
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
1,1745427562,0.00,2906.01636,329.46979,0.00105804,0.00423217,0.00423217,
2,1745427883,4.00,68097.00781,9305.48633,0.02479322,0.09917287,0.10340504,
3,1745428205,8.00,222839.43750,38330.19531,0.08113289,0.32453154,0.42793658,
4,1745428525,12.00,200174.51562,34096.19141,0.07288089,0.29152355,0.71946013,
5,1745428846,16.00,158448.85938,26038.30469,0.05768913,0.23075652,0.95021665,
6,1745429167,20.00,117363.20312,18255.02734,0.04273039,0.17092155,1.12113819,
7,1745429488,24.00,88085.55469,12720.70605,0.03207078,0.12828313,1.24942132,
8,1745429811,28.00,68760.89844,9403.58496,0.02503493,0.10013973,1.34956105,
9,1745430133,32.00,55746.78906,7425.39795,0.02029667,0.08118667,1.43074772,
10,1745430454,36.00,47746.35156,6122.82275,0.01738381,0.06953525,1.50028297,
11,1745430776,40.00,42766.23047,5438.96533,0.01557062,0.06228247,1.56256544,
12,1745431098,44.00,38775.97656,4849.58398,0.01411782,0.05647128,1.61903672,
13,1745431419,48.00,34224.19141,4263.43604,0.01246057,0.04984230,1.66887902,
14,1745431740,52.00,31981.76367,3920.00024,0.01164414,0.04657654,1.71545556,
15,1745432060,56.00,29420.18164,3716.76099,0.01071150,0.04284599,1.75830155,
16,1745432382,60.00,27779.80078,3373.98975,0.01011426,0.04045703,1.79875858,
17,1745432703,64.00,26160.53711,3172.91968,0.00952470,0.03809882,1.83685740,
18,1745433024,68.00,24869.76172,3011.88916,0.00905475,0.03621900,1.87307640,
19,1745433347,72.00,24597.36523,2895.78613,0.00895557,0.03582230,1.90889870,
20,1745433668,76.00,23498.55469,2819.26245,0.00855551,0.03422205,1.94312075,
21,1745433989,80.00,21357.85352,2532.53320,0.00777611,0.03110445,1.97422520,
22,1745434312,84.00,20072.64258,2422.32812,0.00730818,0.02923273,2.00345793,
23,1745434634,88.00,20568.33398,2476.18091,0.00748866,0.02995463,2.03341256,
24,1745434956,92.00,19706.52148,2309.82520,0.00717488,0.02869953,2.06211209,
25,1745435276,96.00,18453.32031,2319.05103,0.00671861,0.02687444,2.08898653,
26,1745435598,100.00,17540.98047,2129.92871,0.00638644,0.02554575,2.11453228,
27,1745435920,104.00,16375.04004,2057.91919,0.00596194,0.02384774,2.13838002,
28,1745436241,108.00,16816.15234,2035.92310,0.00612254,0.02449015,2.16287018,
29,1745436562,112.00,16511.89453,1905.59387,0.00601176,0.02404705,2.18691722,
30,1745436883,116.00,16007.53711,1872.53467,0.00582813,0.02331253,2.21022975,
31,1745437205,120.00,15173.42188,1730.18604,0.00552444,0.02209777,2.23232752,
32,1745437624,124.00,15715.07227,1772.84180,0.00572165,0.02288660,2.25521412,
33,1745437949,128.00,14781.44922,1786.36487,0.00538173,0.02152692,2.27674104,
34,1745438272,132.00,13540.13672,1607.82971,0.00492978,0.01971914,2.29646017,
35,1745438598,136.00,13657.36133,1594.94690,0.00497246,0.01988986,2.31635003,
36,1745438923,140.00,13754.99316,1543.09253,0.00500801,0.02003204,2.33638207,
37,1745439249,144.00,13360.79590,1560.71826,0.00486449,0.01945795,2.35584003,
38,1745439569,148.00,13893.40137,1603.34241,0.00505840,0.02023361,2.37607364,
39,1745439892,152.00,11425.46582,1434.17627,0.00415986,0.01663944,2.39271308,
40,1745440215,156.00,12664.59180,1465.89722,0.00461101,0.01844404,2.41115712,
41,1745440539,160.00,12455.78027,1401.43628,0.00453498,0.01813994,2.42929706,
42,1745440859,164.00,11769.14062,1407.59473,0.00428499,0.01713995,2.44643701,
43,1745441181,168.00,11723.40625,1340.20105,0.00426834,0.01707335,2.46351036,
44,1745441501,172.00,11259.73828,1349.87256,0.00409952,0.01639809,2.47990845,
45,1745441823,176.00,11432.11523,1385.32947,0.00416228,0.01664913,2.49655757,
46,1745442143,180.00,10434.05566,1264.42554,0.00379890,0.01519561,2.51175318,
47,1745442467,184.00,9575.36621,1158.27856,0.00348626,0.01394506,2.52569823,
48,1745442788,188.00,9200.12500,1147.43115,0.00334964,0.01339857,2.53909681,
49,1745443110,192.00,8927.42285,1077.01123,0.00325036,0.01300143,2.55209823,
50,1745443431,196.00,9216.46777,1077.08398,0.00335559,0.01342237,2.56552061,
51,1745443753,200.00,9089.37207,1083.97314,0.00330932,0.01323728,2.57875789,
52,1745444074,204.00,8359.38281,994.93134,0.00304354,0.01217416,2.59093205,
53,1745444396,208.00,8330.30762,1035.20764,0.00303295,0.01213182,2.60306387,
54,1745444718,212.00,7043.12988,888.71295,0.00256431,0.01025724,2.61332111,
55,1745445040,216.00,9137.86328,1025.32654,0.00332697,0.01330790,2.62662901,
56,1745445360,220.00,8890.37402,1051.09900,0.00323687,0.01294747,2.63957648,
57,1745445682,224.00,8169.84473,934.46387,0.00297453,0.01189813,2.65147461,
58,1745446005,228.00,8183.64600,884.33459,0.00297956,0.01191823,2.66339283,
59,1745446327,232.00,7209.53271,898.16333,0.00262490,0.01049958,2.67389242,
60,1745446647,236.00,7666.60693,900.94824,0.00279131,0.01116524,2.68505766,
61,1745446971,240.00,7746.99951,994.49634,0.00282058,0.01128232,2.69633997,
62,1745447293,244.00,7003.61865,823.94916,0.00254992,0.01019970,2.70653967,
63,1745447615,248.00,6352.65918,794.88892,0.00231292,0.00925168,2.71579135,
64,1745447939,252.00,7367.66455,800.87982,0.00268247,0.01072988,2.72652123,
65,1745448260,256.00,6075.02197,763.62939,0.00221183,0.00884734,2.73536857,
66,1745448581,260.00,7343.51562,876.32434,0.00267368,0.01069471,2.74606327,
67,1745448901,264.00,6729.32666,745.69385,0.00245006,0.00980023,2.75586351,
68,1745449223,268.00,5838.18604,711.82513,0.00212561,0.00850242,2.76436593,
69,1745449545,272.00,4933.43994,624.65552,0.00179620,0.00718480,2.77155073,
70,1745449868,276.00,4735.90527,558.37714,0.00172428,0.00689712,2.77844785,
71,,280.00,2.00000,0.00000,0.00000073,0.00000291,2.77845077,low_signal
72,1745450512,284.00,5361.99756,667.89465,0.00195223,0.00780893,2.78625969,
73,1745450834,288.00,5767.66113,706.33032,0.00209993,0.00839972,2.79465941,
74,1745451155,292.00,5919.45312,653.07428,0.00215519,0.00862078,2.80328019,
75,1745451477,296.00,4735.74902,573.71265,0.00172422,0.00689689,2.81017708,
76,1745451799,300.00,4689.09326,537.10773,0.00170724,0.00682895,2.81700603,
77,1745452123,304.00,4465.30420,497.14667,0.00162576,0.00650303,2.82350906,
78,1745452447,308.00,4929.94238,597.01624,0.00179493,0.00717971,2.83068877,
79,1745452768,312.00,5873.89844,665.26044,0.00213861,0.00855443,2.83924320,
80,1745453090,316.00,4819.19043,602.00635,0.00175460,0.00701841,2.84626161,
81,1745453413,320.00,4894.14795,578.54761,0.00178189,0.00712758,2.85338919,
82,,324.00,2.00000,0.00000,0.00000073,0.00000291,2.85339211,low_signal
83,1745454057,328.00,5533.68164,638.64343,0.00201474,0.00805896,2.86145107,
84,1745454378,332.00,4830.40576,602.95868,0.00175869,0.00703475,2.86848581,
85,1745454699,336.00,4626.23389,592.80750,0.00168435,0.00673740,2.87522321,
86,1745455021,340.00,5341.87891,733.11920,0.00194491,0.00777963,2.88300284,
87,1745455343,344.00,4285.95410,510.97299,0.00156046,0.00624184,2.88924468,
88,,348.00,2.00000,0.00000,0.00000073,0.00000291,2.88924759,low_signal
89,1745455986,352.00,4348.21826,473.46219,0.00158313,0.00633251,2.89558011,
90,1745456307,356.00,4671.49854,583.53729,0.00170083,0.00680332,2.90238343,
91,1745456628,360.00,3922.86426,449.86035,0.00142826,0.00571305,2.90809648,
92,1745456951,364.00,4366.23047,517.11609,0.00158969,0.00635875,2.91445523,
93,1745457273,368.00,3401.48071,435.81812,0.00123843,0.00495374,2.91940896,
94,1745457594,372.00,3451.38818,412.38000,0.00125660,0.00502642,2.92443538,
95,1745457916,376.00,1624.73291,368.11078,0.00059154,0.00236617,2.92680156,
96,1745458239,380.00,3797.33203,452.78333,0.00138256,0.00553023,2.93233179,
97,1745458561,384.00,3063.75928,435.16431,0.00111547,0.00446190,2.93679369,
98,1745458885,388.00,3026.01025,387.35812,0.00110173,0.00440692,2.94120061,
99,1745459207,392.00,2451.54712,351.72192,0.00089258,0.00357030,2.94477091,
100,1745459528,396.00,3520.74365,428.76019,0.00128186,0.00512742,2.94989834,
101,1745459850,400.00,4444.95459,466.92682,0.00161835,0.00647340,2.95637173,
102,1745460172,404.00,3740.40552,392.58640,0.00136183,0.00544733,2.96181906,
103,1745460495,408.00,2191.21875,440.15671,0.00079779,0.00319117,2.96501023,
104,,412.00,2.00000,0.00000,0.00000073,0.00000291,2.96501315,low_signal
105,1745461139,416.00,3659.16382,413.52124,0.00133225,0.00532901,2.97034216,
106,,420.00,2.00000,0.00000,0.00000073,0.00000291,2.97034507,low_signal
107,,424.00,2.00000,0.00000,0.00000073,0.00000291,2.97034798,low_signal
108,1745462107,428.00,3172.72437,387.37308,0.00115515,0.00462059,2.97496857,
109,1745462428,432.00,2409.94434,321.38519,0.00087743,0.00350972,2.97847829,
110,1745462748,436.00,1318.50378,224.97035,0.00048005,0.00192020,2.98039849,
111,1745463071,440.00,2570.38574,285.47070,0.00093584,0.00374337,2.98414186,
112,,444.00,2.00000,0.00000,0.00000073,0.00000291,2.98414477,low_signal
113,,448.00,2.00000,0.00000,0.00000073,0.00000291,2.98414769,low_signal
114,1745464037,452.00,2150.92041,354.30399,0.00078312,0.00313249,2.98728017,
115,1745464358,456.00,2828.28589,397.21222,0.00102974,0.00411897,2.99139914,
116,1745464682,460.00,3148.93481,389.65100,0.00114649,0.00458594,2.99598508,
117,1745465003,464.00,2035.23645,217.88699,0.00074100,0.00296401,2.99894909,
118,1745465324,468.00,1182.61621,233.00594,0.00043057,0.00172230,3.00067139,
