# TDA Hydrogen Analysis Results - Generated by TDA Analysis System,,,,,,,,
# Generated: 2025-07-13T11:07:04.149032,,,,,,,,
#,,,,,,,,
# === EXPERIMENT INFORMATION ===,,,,,,,,
# Experiment Name: 22-04-25 SS316L_sample(26)_RT_18hours 2025-04-22 17-30-08,,,,,,,,
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/22-04-25 SS316L_sample(26)_RT_18hours 2025-04-22 17-30-08,,,,,,,,
# Extraction Date: 2025-07-13T11:07:04.140291,,,,,,,,
# Operator: SYSTEM,,,,,,,,
#,,,,,,,,
# === SAMPLE PARAMETERS ===,,,,,,,,
# Sample Weight: 5.0 g,,,,,,,,
# Flow Rate: 20.0 ml/min,,,,,,,,
# Cycle Time: 4.0 minutes,,,,,,,,
#,,,,,,,,
# === DATA QUALITY SUMMARY ===,,,,,,,,
# Total Runs Attempted: 216,,,,,,,,
# Successful Runs: 216,,,,,,,,
# Failed Runs: 0,,,,,,,,
# Data Quality Score: Excellent (100.0% success rate),,,,,,,,
#,,,,,,,,
# === CALCULATED RESULTS SUMMARY ===,,,,,,,,
# Total Hydrogen Released: 2.491506 ppm,,,,,,,,
# Maximum Evolution Rate: 0.02125589 ppm/min,,,,,,,,
# Average Evolution Rate: 0.00288369 ppm/min,,,,,,,,
# Experiment Duration: 860.0 minutes (14.33 hours),,,,,,,,
#,,,,,,,,
# === COLUMN DEFINITIONS ===,,,,,,,,
# Run: Sequential run number from GC analysis,,,,,,,,
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS),,,,,,,,
# Time_minutes: Minutes elapsed from start of experiment,,,,,,,,
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s),,,,,,,,
# Peak_Height_µV: Raw peak height from chromatograph (µV),,,,,,,,
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min),,,,,,,,
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm),,,,,,,,
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm),,,,,,,,
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.),,,,,,
#,,,,,,,,
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
1,1745339445,0,21580.24414,2541.08008,0.00785708,0.03142832,0.03142832,
2,1745339765,4,50520.39453,6538.40381,0.01839381,0.07357522,0.10500355,
3,1745340086,8,58381.39062,7690.09326,0.02125589,0.08502356,0.19002711,
4,1745340407,12,56602.60938,7632.39453,0.02060826,0.08243304,0.27246015,
5,1745340731,16,52620.21875,6880.54834,0.01915832,0.0766333,0.34909344,
6,1745341051,20,47863.47266,6266.37256,0.01742646,0.06970582,0.41879927,
7,1745341373,24,43803.41406,5660.58301,0.01594824,0.06379297,0.48259224,
8,1745341693,28,40193.46094,5113.38184,0.01463391,0.05853563,0.54112786,
9,1745342015,32,37582.48828,4694.08496,0.01368329,0.05473314,0.59586101,
10,1745342338,36,35173.33984,4335.60791,0.01280615,0.05122459,0.64708559,
11,1745342662,40,33489.89844,4070.4939,0.01219323,0.04877291,0.6958585,
12,1745342985,44,31569.03125,3824.5415,0.01149387,0.04597546,0.74183397,
13,1745343307,48,28647.49805,3420.93286,0.01043017,0.0417207,0.78355466,
14,1745343628,52,28267.48047,3414.10547,0.01029181,0.04116726,0.82472192,
15,1745343951,56,26156.15625,3107.38916,0.00952311,0.03809244,0.86281436,
16,1745344272,60,24803.87695,2968.35791,0.00903076,0.03612305,0.89893741,
17,1745344593,64,24463.60547,2976.03857,0.00890687,0.0356275,0.93456491,
18,1745344914,68,21861.48047,2632.99072,0.00795948,0.0318379,0.96640281,
19,1745345235,72,22143.24219,2578.39502,0.00806206,0.03224824,0.99865106,
20,1745345557,76,20861.74414,2435.24414,0.00759548,0.03038194,1.029033,
21,1745345878,80,19629.80859,2289.56445,0.00714695,0.02858781,1.05762081,
22,1745346201,84,19226.24609,2321.35889,0.00700002,0.02800009,1.08562089,
23,1745346521,88,18458.97266,2127.22925,0.00672067,0.02688267,1.11250356,
24,1745346842,92,16612.26562,1987.22021,0.00604831,0.02419322,1.13669678,
25,1745347163,96,16610.77539,1951.32666,0.00604776,0.02419105,1.16088784,
26,1745347486,100,15865.08691,1829.9967,0.00577627,0.02310507,1.18399291,
27,1745347808,104,15567.70215,1833.77661,0.00566799,0.02267198,1.20666488,
28,1745348129,108,16910.0918,1957.2688,0.00615674,0.02462696,1.23129185,
29,1745348450,112,15611.09375,1820.10376,0.00568379,0.02273517,1.25402701,
30,1745348773,116,15473.81641,1832.55029,0.00563381,0.02253525,1.27656226,
31,1745349094,120,14415.89844,1697.39954,0.00524864,0.02099455,1.29755681,
32,1745349416,124,14070.58691,1625.3009,0.00512291,0.02049166,1.31804847,
33,1745349740,128,13521.51758,1655.0874,0.00492301,0.01969202,1.33774049,
34,1745350061,132,12931.75586,1513.28101,0.00470828,0.01883312,1.35657361,
35,1745350382,136,13185.35059,1543.07544,0.00480061,0.01920245,1.37577606,
36,1745350703,140,11432.56836,1360.26819,0.00416245,0.01664979,1.39242584,
37,1745351024,144,12300.5459,1495.44495,0.00447847,0.01791386,1.41033971,
38,1745351347,148,11073.64062,1341.85657,0.00403177,0.01612706,1.42646677,
39,1745351670,152,11523.04102,1425.44751,0.00419539,0.01678155,1.44324831,
40,1745351991,156,10311.37695,1310.01611,0.00375424,0.01501694,1.45826526,
41,1745352315,160,10785.19336,1262.18701,0.00392675,0.01570698,1.47397224,
42,1745352636,164,11696.58008,1346.85754,0.00425857,0.01703428,1.49100652,
43,1745352957,168,10076.75098,1199.26819,0.00366881,0.01467525,1.50568177,
44,1745353278,172,10363.7998,1200.72009,0.00377332,0.01509329,1.52077505,
45,1745353600,176,11210.20996,1354.87439,0.00408149,0.01632596,1.53710101,
46,1745353923,180,10765.08789,1323.3396,0.00391943,0.0156777,1.55277871,
47,1745354245,184,9411.1416,1116.91113,0.00342647,0.01370589,1.5664846,
48,1745354566,188,9910.67383,1208.20972,0.00360834,0.01443338,1.58091798,
49,1745354887,192,8790.61816,1023.70679,0.00320055,0.01280219,1.59372017,
50,1745355208,196,10252.30762,1175.11694,0.00373273,0.01493092,1.60865109,
51,1745355530,200,8626.85156,1025.35974,0.00314092,0.01256369,1.62121478,
52,1745355851,204,8563.93945,1050.05518,0.00311802,0.01247207,1.63368684,
53,1745356172,208,9412.87793,1091.42822,0.0034271,0.01370842,1.64739526,
54,1745356494,212,8399.43066,963.28467,0.00305812,0.01223249,1.65962775,
55,1745356815,216,9771.68359,1074.39099,0.00355774,0.01423096,1.67385871,
56,1745357136,220,9817.17871,1164.72156,0.0035743,0.01429722,1.68815593,
57,1745357457,224,8529.78613,937.0708,0.00310558,0.01242233,1.70057825,
58,1745357778,228,8225.91309,991.13251,0.00299495,0.01197978,1.71255804,
59,1745358100,232,8469.51953,991.31689,0.00308364,0.01233456,1.7248926,
60,,236,2,0,0.00000073,0.00000291,1.72489551,low_signal
61,1745358743,240,8839.35156,1032.44702,0.00321829,0.01287316,1.73776867,
62,1745359065,244,7296.44775,843.33478,0.00265654,0.01062616,1.74839483,
63,1745359386,248,8495.45508,1025.63855,0.00309308,0.01237233,1.76076716,
64,1745359708,252,7668.67529,900.64606,0.00279206,0.01116825,1.77193542,
65,1745360029,256,6884.76758,786.29974,0.00250665,0.01002661,1.78196203,
66,1745360350,260,6956.19238,820.89978,0.00253266,0.01013063,1.79209266,
67,1745360673,264,6640.29736,763.36816,0.00241764,0.00967058,1.80176323,
68,1745360994,268,7152.35547,815.39722,0.00260408,0.01041631,1.81217954,
69,1745361317,272,6702.92236,791.24133,0.00244045,0.00976178,1.82194132,
70,1745361638,276,7461.7002,934.04797,0.00271671,0.01086682,1.83280815,
71,1745361959,280,7838.52881,899.94073,0.0028539,0.01141562,1.84422377,
72,1745362280,284,5761.71387,693.00616,0.00209776,0.00839105,1.85261482,
73,1745362602,288,7518.09814,875.02429,0.00273724,0.01094896,1.86356378,
74,1745362924,292,6496.75635,727.47809,0.00236538,0.00946153,1.87302531,
75,1745363247,296,5933.56543,738.37714,0.00216033,0.00864133,1.88166664,
76,1745363570,300,6626.63037,814.69952,0.00241267,0.00965067,1.89131731,
77,1745363893,304,8184.89355,884.41357,0.00298001,0.01192004,1.90323736,
78,1745364216,308,6789.94336,785.41907,0.00247213,0.00988851,1.91312587,
79,1745364539,312,6123.68848,736.01678,0.00222955,0.00891822,1.92204409,
80,1745364860,316,6466.99805,741.03778,0.00235455,0.00941819,1.93146228,
81,1745365184,320,5476.896,687.20239,0.00199407,0.00797626,1.93943854,
82,1745365505,324,5917.92773,709.18542,0.00215464,0.00861856,1.9480571,
83,1745365826,328,4640.56445,540.55688,0.00168957,0.00675827,1.95481537,
84,1745366148,332,5963.12646,684.79742,0.0021711,0.00868438,1.96349975,
85,1745366470,336,5414.10889,640.70044,0.00197121,0.00788482,1.97138457,
86,1745366791,340,5864.54199,657.62708,0.0021352,0.00854081,1.97992538,
87,1745367112,344,5480.95703,636.73401,0.00199554,0.00798218,1.98790756,
88,,348,2,0,0.00000073,0.00000291,1.98791047,low_signal
89,1745367755,352,5833.14502,663.32849,0.00212377,0.00849508,1.99640555,
90,,356,2,0,0.00000073,0.00000291,1.99640846,low_signal
91,1745368398,360,4554.90967,601.46228,0.00165838,0.00663353,2.00304199,
92,1745368720,364,5408.15088,609.95483,0.00196904,0.00787614,2.01091814,
93,1745369040,368,4800.82324,585.57141,0.00174792,0.00699166,2.0179098,
94,1745369362,372,4510.33447,635.92426,0.00164215,0.00656861,2.02447841,
95,1745369685,376,5028.37939,699.0235,0.00183077,0.00732307,2.03180148,
96,1745370006,380,5649.87305,709.74969,0.00205704,0.00822818,2.04002965,
97,1745370327,384,4493.4502,548.47113,0.00163601,0.00654402,2.04657368,
98,1745370648,388,4907.87646,658.92773,0.00178689,0.00714757,2.05372125,
99,1745370969,392,5522.01416,654.62244,0.00201049,0.00804197,2.06176322,
100,1745371290,396,5830.64551,592.17535,0.00212286,0.00849144,2.07025466,
101,1745371613,400,4930.15869,568.46509,0.00179501,0.00718002,2.07743468,
102,1745371934,404,1192.80066,277.68732,0.00043428,0.00173713,2.07917181,
103,1745372255,408,5128.68262,605.97089,0.00186729,0.00746914,2.08664095,
104,1745372578,412,4521.11475,537.99072,0.00164608,0.00658431,2.09322527,
105,,416,2,0,0.00000073,0.00000291,2.09322818,low_signal
106,1745373223,420,4928.79736,705.33246,0.00179451,0.00717804,2.10040622,
107,1745373544,424,4305.15527,530.71344,0.00156745,0.0062698,2.10667602,
108,1745373867,428,4117.10742,494.36176,0.00149898,0.00599594,2.11267196,
109,1745374188,432,5146.8833,587.15015,0.00187391,0.00749565,2.1201676,
110,1745374510,436,3979.77148,500.29602,0.00144898,0.00579593,2.12596353,
111,,440,2,0,0.00000073,0.00000291,2.12596644,low_signal
112,1745375154,444,4195.27734,489.75705,0.00152744,0.00610978,2.13207622,
113,1745375475,448,3437.67603,541.43597,0.00125161,0.00500645,2.13708267,
114,1745375796,452,4231.29785,540.76562,0.00154056,0.00616224,2.14324491,
115,1745376118,456,3814.42041,493.33417,0.00138878,0.00555512,2.14880003,
116,1745376440,460,5392.93311,628.70374,0.0019635,0.00785398,2.15665401,
117,1745376762,464,4441.31836,493.22656,0.00161703,0.0064681,2.16312211,
118,,468,2,0,0.00000073,0.00000291,2.16312502,low_signal
119,,472,2,0,0.00000073,0.00000291,2.16312794,low_signal
