# TDA Hydrogen Analysis Results - Generated by TDA Analysis System
# Generated: 2025-07-08T02:36:56.941896
#
# === EXPERIMENT INFORMATION ===
# Experiment Name: 19-05-25 SS316L_sample(32)_900C_24hours 2025-05-21 18-11-23
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/19-05-25 SS316L_sample(32)_900C_24hours 2025-05-21 18-11-23
# Extraction Date: 2025-07-08T02:36:56.941896
# Operator: SYSTEM
#
# === SAMPLE PARAMETERS ===
# Sample Weight: 5.0 g
# Flow Rate: 20.0 ml/min
# Cycle Time: 5.0 minutes
#
# === DATA QUALITY SUMMARY ===
# Total Runs Attempted: 288
# Successful Runs: 288
# Failed Runs: 0
# Data Quality Score: Excellent (100.0% success rate)
#
# === CALCULATED RESULTS SUMMARY ===
# Total Hydrogen Released: 1.788023 ppm
# Maximum Evolution Rate: 0.01100688 ppm/min
# Average Evolution Rate: 0.00124168 ppm/min
# Experiment Duration: 1435.0 minutes (23.92 hours)
#
# === COLUMN DEFINITIONS ===
# Run: Sequential run number from GC analysis
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS)
# Time_minutes: Minutes elapsed from start of experiment
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s)
# Peak_Height_µV: Raw peak height from chromatograph (µV)
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min)
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm)
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm)
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.)
#
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
1,1747847522,0.00,151157.40625,22917.03125,0.01100688,0.05503441,0.05503441,
2,1747847843,5.00,125848.53906,20053.40039,0.00916396,0.04581978,0.10085419,
3,1747848165,10.00,114615.54688,17996.44922,0.00834600,0.04173000,0.14258419,
4,1747848485,15.00,113925.21094,17791.56641,0.00829573,0.04147866,0.18406285,
5,1747848809,20.00,113954.36719,17686.41602,0.00829785,0.04148927,0.22555213,
6,1747849131,25.00,112497.21094,17469.45117,0.00819175,0.04095874,0.26651087,
7,1747849454,30.00,107562.20312,16777.01172,0.00783239,0.03916197,0.30567284,
8,1747849779,35.00,104805.16406,16059.03809,0.00763163,0.03815817,0.34383101,
9,1747850099,40.00,99644.59375,15159.99219,0.00725586,0.03627928,0.38011029,
10,1747850420,45.00,93246.46094,14075.87793,0.00678996,0.03394980,0.41406009,
11,1747850741,50.00,89174.38281,13215.28320,0.00649344,0.03246721,0.44652730,
12,1747851065,55.00,83942.43750,12208.07031,0.00611247,0.03056233,0.47708963,
13,1747851389,60.00,78799.52344,11348.77441,0.00573797,0.02868986,0.50577949,
14,1747851713,65.00,74412.21875,10531.16699,0.00541850,0.02709250,0.53287199,
15,1747852037,70.00,69941.64062,9695.06934,0.00509296,0.02546482,0.55833682,
16,1747852361,75.00,64920.28516,9009.71387,0.00472732,0.02363662,0.58197343,
17,1747852685,80.00,61824.96875,8560.51855,0.00450193,0.02250965,0.60448308,
18,1747853009,85.00,58576.19141,7965.06152,0.00426536,0.02132681,0.62580990,
19,1747853332,90.00,55417.92578,7484.48047,0.00403539,0.02017693,0.64598683,
20,1747853655,95.00,55123.32422,7269.31836,0.00401393,0.02006967,0.66605650,
21,1747853979,100.00,51527.32031,6736.58350,0.00375208,0.01876041,0.68481692,
22,1747854305,105.00,48610.66797,6380.45605,0.00353970,0.01769850,0.70251542,
23,1747854630,110.00,45851.12891,5997.67578,0.00333876,0.01669379,0.71920920,
24,1747854955,115.00,44002.33984,5731.70068,0.00320413,0.01602067,0.73522987,
25,1747855278,120.00,42431.35938,5433.47266,0.00308974,0.01544870,0.75067857,
26,1747855599,125.00,40976.28906,5226.19287,0.00298378,0.01491892,0.76559749,
27,1747855925,130.00,39301.43750,4933.37451,0.00286183,0.01430913,0.77990663,
28,1747856250,135.00,36726.76562,4633.69580,0.00267435,0.01337173,0.79327835,
29,1747856573,140.00,36755.51953,4534.64209,0.00267644,0.01338220,0.80666055,
30,1747856896,145.00,34913.60156,4416.54785,0.00254232,0.01271158,0.81937213,
31,1747857217,150.00,32816.00000,4145.38721,0.00238957,0.01194787,0.83132000,
32,1747857541,155.00,32516.47656,4038.90308,0.00236776,0.01183882,0.84315882,
33,1747857865,160.00,31128.71875,3871.12915,0.00226671,0.01133355,0.85449237,
34,1747858186,165.00,29282.00000,3540.86597,0.00213224,0.01066119,0.86515356,
35,1747858511,170.00,28635.32031,3561.07861,0.00208515,0.01042574,0.87557930,
36,1747858835,175.00,29006.91211,3454.57422,0.00211221,0.01056103,0.88614033,
37,1747859159,180.00,27239.44922,3319.36328,0.00198350,0.00991752,0.89605786,
38,1747859481,185.00,26972.72461,3353.19678,0.00196408,0.00982041,0.90587827,
39,1747859805,190.00,26446.25781,3190.51562,0.00192575,0.00962873,0.91550700,
40,1747860129,195.00,26198.29688,3137.98145,0.00190769,0.00953845,0.92504545,
41,1747860450,200.00,24138.78906,2858.56812,0.00175772,0.00878861,0.93383407,
42,1747860774,205.00,24104.96680,2901.40747,0.00175526,0.00877630,0.94261036,
