# TDA Hydrogen Analysis Results - Generated by TDA Analysis System
# Generated: 2025-07-08T02:36:20.353569
#
# === EXPERIMENT INFORMATION ===
# Experiment Name: 08-06-25 SS316L_sample(30)_300C_18hours 2025-06-08 13-37-43
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/08-06-25 SS316L_sample(30)_300C_18hours 2025-06-08 13-37-43
# Extraction Date: 2025-07-08T02:36:20.352569
# Operator: SYSTEM
#
# === SAMPLE PARAMETERS ===
# Sample Weight: 5.0 g
# Flow Rate: 20.0 ml/min
# Cycle Time: 5.0 minutes
#
# === DATA QUALITY SUMMARY ===
# Total Runs Attempted: 216
# Successful Runs: 216
# Failed Runs: 0
# Data Quality Score: Excellent (100.0% success rate)
#
# === CALCULATED RESULTS SUMMARY ===
# Total Hydrogen Released: 0.671338 ppm
# Maximum Evolution Rate: 0.02682059 ppm/min
# Average Evolution Rate: 0.00062161 ppm/min
# Experiment Duration: 1075.0 minutes (17.92 hours)
#
# === COLUMN DEFINITIONS ===
# Run: Sequential run number from GC analysis
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS)
# Time_minutes: Minutes elapsed from start of experiment
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s)
# Peak_Height_µV: Raw peak height from chromatograph (µV)
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min)
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm)
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm)
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.)
#
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
1,1749386303,0.00,13882.75098,1644.75098,0.00101091,0.00505453,0.00505453,
2,1749386628,5.00,368326.96875,61820.50781,0.02682059,0.13410297,0.13915749,
3,1749386951,10.00,320436.25000,57517.42969,0.02333332,0.11666659,0.25582408,
4,1749387276,15.00,243404.18750,43212.62109,0.01772405,0.08862024,0.34444432,
5,1749387598,20.00,165923.34375,28044.21484,0.01208210,0.06041049,0.40485481,
6,1749387920,25.00,106684.10938,16654.26367,0.00776845,0.03884227,0.44369708,
7,1749388246,30.00,92341.00000,9955.79004,0.00672403,0.03362013,0.47731721,
8,1749388569,35.00,48568.14844,6500.93750,0.00353660,0.01768302,0.49500023,
9,1749388892,40.00,37036.23047,4713.21436,0.00269688,0.01348440,0.50848463,
10,1749389217,45.00,28711.59570,3505.68335,0.00209070,0.01045351,0.51893815,
11,1749389540,50.00,23400.21875,2840.55884,0.00170394,0.00851971,0.52745786,
12,1749389860,55.00,20526.21875,2508.90576,0.00149466,0.00747332,0.53493118,
13,1749390182,60.00,17805.95898,2165.66699,0.00129658,0.00648291,0.54141409,
14,1749390507,65.00,16114.14355,1901.46533,0.00117339,0.00586695,0.54728104,
15,1749390831,70.00,15107.14746,1748.43787,0.00110006,0.00550031,0.55278135,
16,1749391154,75.00,12866.81543,1467.27356,0.00093693,0.00468464,0.55746599,
17,1749391474,80.00,12853.89355,1523.25525,0.00093599,0.00467993,0.56214592,
18,1749391796,85.00,10830.67969,1277.78149,0.00078866,0.00394331,0.56608923,
19,1749392120,90.00,10638.66699,1195.04321,0.00077468,0.00387340,0.56996262,
20,1749392444,95.00,9593.43750,1179.00964,0.00069857,0.00349284,0.57345547,
